ADMIN | /admin/academics/supervisorreviewqueueitem/<path:object_id>/history/ | django.contrib.admin.options.history_view | academics_supervisorreviewqueueitem_history
ADMIN | /admin/academics/supervisorreviewqueueitem/add/ | django.contrib.admin.options.add_view | academics_supervisorreviewqueueitem_add
ADMIN | /admin/auth/group/ | django.contrib.admin.options.changelist_view | auth_group_changelist
ADMIN | /admin/auth/group/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/auth/group/<path:object_id>/change/ | django.contrib.admin.options.change_view | auth_group_change
ADMIN | /admin/auth/group/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | auth_group_delete
ADMIN | /admin/auth/group/<path:object_id>/history/ | django.contrib.admin.options.history_view | auth_group_history
ADMIN | /admin/auth/group/add/ | django.contrib.admin.options.add_view | auth_group_add
ADMIN | /admin/autocomplete/ | django.contrib.admin.sites.autocomplete_view | autocomplete
ADMIN | /admin/backup_center/backupauditlog/ | django.contrib.admin.options.changelist_view | backup_center_backupauditlog_changelist
ADMIN | /admin/backup_center/backupauditlog/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/backup_center/backupauditlog/<path:object_id>/change/ | django.contrib.admin.options.change_view | backup_center_backupauditlog_change
ADMIN | /admin/backup_center/backupauditlog/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | backup_center_backupauditlog_delete
ADMIN | /admin/backup_center/backupauditlog/<path:object_id>/history/ | django.contrib.admin.options.history_view | backup_center_backupauditlog_history
ADMIN | /admin/backup_center/backupauditlog/add/ | django.contrib.admin.options.add_view | backup_center_backupauditlog_add
ADMIN | /admin/backup_center/backupcloudconnection/ | django.contrib.admin.options.changelist_view | backup_center_backupcloudconnection_changelist
ADMIN | /admin/backup_center/backupcloudconnection/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/backup_center/backupcloudconnection/<path:object_id>/change/ | django.contrib.admin.options.change_view | backup_center_backupcloudconnection_change
ADMIN | /admin/backup_center/backupcloudconnection/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | backup_center_backupcloudconnection_delete
ADMIN | /admin/backup_center/backupcloudconnection/<path:object_id>/history/ | django.contrib.admin.options.history_view | backup_center_backupcloudconnection_history
ADMIN | /admin/backup_center/backupcloudconnection/add/ | django.contrib.admin.options.add_view | backup_center_backupcloudconnection_add
ADMIN | /admin/backup_center/backupcloudcopy/ | django.contrib.admin.options.changelist_view | backup_center_backupcloudcopy_changelist
ADMIN | /admin/backup_center/backupcloudcopy/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/backup_center/backupcloudcopy/<path:object_id>/change/ | django.contrib.admin.options.change_view | backup_center_backupcloudcopy_change
ADMIN | /admin/backup_center/backupcloudcopy/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | backup_center_backupcloudcopy_delete
ADMIN | /admin/backup_center/backupcloudcopy/<path:object_id>/history/ | django.contrib.admin.options.history_view | backup_center_backupcloudcopy_history
ADMIN | /admin/backup_center/backupcloudcopy/add/ | django.contrib.admin.options.add_view | backup_center_backupcloudcopy_add
ADMIN | /admin/backup_center/backupjob/ | django.contrib.admin.options.changelist_view | backup_center_backupjob_changelist
ADMIN | /admin/backup_center/backupjob/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/backup_center/backupjob/<path:object_id>/change/ | django.contrib.admin.options.change_view | backup_center_backupjob_change
ADMIN | /admin/backup_center/backupjob/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | backup_center_backupjob_delete
ADMIN | /admin/backup_center/backupjob/<path:object_id>/history/ | django.contrib.admin.options.history_view | backup_center_backupjob_history
ADMIN | /admin/backup_center/backupjob/add/ | django.contrib.admin.options.add_view | backup_center_backupjob_add
ADMIN | /admin/backup_center/restorejob/ | django.contrib.admin.options.changelist_view | backup_center_restorejob_changelist
ADMIN | /admin/backup_center/restorejob/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/backup_center/restorejob/<path:object_id>/change/ | django.contrib.admin.options.change_view | backup_center_restorejob_change
ADMIN | /admin/backup_center/restorejob/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | backup_center_restorejob_delete
ADMIN | /admin/backup_center/restorejob/<path:object_id>/history/ | django.contrib.admin.options.history_view | backup_center_restorejob_history
ADMIN | /admin/backup_center/restorejob/add/ | django.contrib.admin.options.add_view | backup_center_restorejob_add
ADMIN | /admin/django_celery_beat/clockedschedule/ | django.contrib.admin.options.changelist_view | django_celery_beat_clockedschedule_changelist
ADMIN | /admin/django_celery_beat/clockedschedule/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/django_celery_beat/clockedschedule/<path:object_id>/change/ | django.contrib.admin.options.change_view | django_celery_beat_clockedschedule_change
ADMIN | /admin/django_celery_beat/clockedschedule/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | django_celery_beat_clockedschedule_delete
ADMIN | /admin/django_celery_beat/clockedschedule/<path:object_id>/history/ | django.contrib.admin.options.history_view | django_celery_beat_clockedschedule_history
ADMIN | /admin/django_celery_beat/clockedschedule/add/ | django.contrib.admin.options.add_view | django_celery_beat_clockedschedule_add
ADMIN | /admin/django_celery_beat/crontabschedule/ | django.contrib.admin.options.changelist_view | django_celery_beat_crontabschedule_changelist
ADMIN | /admin/django_celery_beat/crontabschedule/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/django_celery_beat/crontabschedule/<path:object_id>/change/ | django.contrib.admin.options.change_view | django_celery_beat_crontabschedule_change
ADMIN | /admin/django_celery_beat/crontabschedule/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | django_celery_beat_crontabschedule_delete
ADMIN | /admin/django_celery_beat/crontabschedule/<path:object_id>/history/ | django.contrib.admin.options.history_view | django_celery_beat_crontabschedule_history
ADMIN | /admin/django_celery_beat/crontabschedule/add/ | django.contrib.admin.options.add_view | django_celery_beat_crontabschedule_add
ADMIN | /admin/django_celery_beat/intervalschedule/ | django.contrib.admin.options.changelist_view | django_celery_beat_intervalschedule_changelist
ADMIN | /admin/django_celery_beat/intervalschedule/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/django_celery_beat/intervalschedule/<path:object_id>/change/ | django.contrib.admin.options.change_view | django_celery_beat_intervalschedule_change
ADMIN | /admin/django_celery_beat/intervalschedule/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | django_celery_beat_intervalschedule_delete
ADMIN | /admin/django_celery_beat/intervalschedule/<path:object_id>/history/ | django.contrib.admin.options.history_view | django_celery_beat_intervalschedule_history
ADMIN | /admin/django_celery_beat/intervalschedule/add/ | django.contrib.admin.options.add_view | django_celery_beat_intervalschedule_add
ADMIN | /admin/django_celery_beat/periodictask/ | django_celery_beat.admin.changelist_view | django_celery_beat_periodictask_changelist
ADMIN | /admin/django_celery_beat/periodictask/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/django_celery_beat/periodictask/<path:object_id>/change/ | django.contrib.admin.options.change_view | django_celery_beat_periodictask_change
ADMIN | /admin/django_celery_beat/periodictask/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | django_celery_beat_periodictask_delete
ADMIN | /admin/django_celery_beat/periodictask/<path:object_id>/history/ | django.contrib.admin.options.history_view | django_celery_beat_periodictask_history
ADMIN | /admin/django_celery_beat/periodictask/add/ | django.contrib.admin.options.add_view | django_celery_beat_periodictask_add
ADMIN | /admin/django_celery_beat/solarschedule/ | django.contrib.admin.options.changelist_view | django_celery_beat_solarschedule_changelist
ADMIN | /admin/django_celery_beat/solarschedule/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/django_celery_beat/solarschedule/<path:object_id>/change/ | django.contrib.admin.options.change_view | django_celery_beat_solarschedule_change
ADMIN | /admin/django_celery_beat/solarschedule/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | django_celery_beat_solarschedule_delete
